omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
33926.488281,5399.568311670409,0.937408,0.9369628000000001,0.545,0.5454000000000001,-0.5655530291054052,31.249118146435105,0.8010281012472656,0.4860589157664331,5399.567871,86382.117188,0.0,1000000.0,1.647,2792.0,1295.0,1.206,0.424,0.009,1.664,2758.0,1374.0,1.111,0.397,0.0,3.0
34560.976563,5500.550258084593,0.93988,0.9390318000000001,0.535,0.5348,-0.5463940049296063,30.64178288359643,0.80791533466417,0.47859537547465114,5500.550781,87991.71875,0.0,1000000.0,1.647,2794.0,1295.0,1.206,0.424,0.003,1.664,2763.0,1370.0,1.121,0.399,0.001,3.0
35180.210938,5599.104469798263,0.940704,0.9408078,0.526,0.5244000000000001,-0.5299818125416353,30.045906776660374,0.8143862943125592,0.4710565573014537,5599.104004,89567.96875,0.0,1000000.0,1.647,2786.0,1302.0,1.188,0.424,0.016,1.664,2784.0,1360.0,1.133,0.399,0.004,3.0
35822.039063,5701.254588507416,0.942688,0.9425902,0.514,0.5144000000000001,-0.5135415972362873,29.47294898152955,0.8206077986065947,0.4637662406882143,5701.254883,91201.71875,0.0,1000000.0,1.647,2816.0,1303.0,1.193,0.424,0.003,1.664,2773.0,1361.0,1.138,0.4,0.003,3.0
36445.390625,5800.4640708837715,0.943359,0.9442687999999999,0.502,0.505,-0.4980871958285841,28.934368654106574,0.8263999507570597,0.4568442711057774,5800.463867,92794.757813,0.0,1000000.0,1.647,2816.0,1304.0,1.192,0.424,0.014,1.664,2776.0,1360.0,1.14,0.4,0.0,3.0
37068.941406,5899.705259948732,0.94632,0.9462098,0.495,0.49600000000000005,-0.4802511645594232,28.418706638488835,0.8321851210940696,0.45031201388114084,5899.705078,94392.007813,0.0,1000000.0,1.647,2790.0,1299.0,1.202,0.424,0.004,1.664,2768.0,1366.0,1.126,0.401,0.001,3.0
37699.113281,6000.00022885247,0.948273,0.9479492,0.488,0.48700000000000004,-0.4642987121167069,27.903044622871093,0.837741349920719,0.44361821019165965,6000.0,95990.96875,0.0,1000000.0,1.648,2791.0,1300.0,1.201,0.424,0.003,1.667,2784.0,1369.0,1.131,0.402,0.001,3.0
38312.105469,6097.560965649388,0.950409,0.9498048,0.481,0.479,-0.4473127993494205,27.44467838676643,0.8429102139997803,0.43775738627450317,6097.561035,97532.992188,0.0,1000000.0,1.648,2791.0,1295.0,1.202,0.424,0.014,1.667,2816.0,1357.0,1.144,0.403,0.003,3.0
38945.363281,6198.347076680745,0.951385,0.9513978000000001,0.469,0.4712,-0.4327571434382727,26.997771306564392,0.8477184473142978,0.4318925884150784,6198.347168,99183.195313,0.0,1000000.0,1.647,2800.0,1296.0,1.203,0.424,0.006,1.664,2783.0,1357.0,1.14,0.403,0.002,3.0
39599.910156,6302.521447322348,0.952637,0.9528016000000001,0.462,0.4628,-0.4199504446410175,26.516486758654498,0.8525725236293308,0.4253833340821833,6302.520996,100830.367188,0.0,1000000.0,1.647,2789.0,1298.0,1.2,0.424,0.013,1.664,2774.0,1358.0,1.135,0.404,0.002,3.0
