omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
10685.689453,1700.6802967898814,0.337128,0.3401368,-2.349,-2.3438000000000003,-9.366927568793926,-134.28984802276236,-0.23751360367112562,-0.2434755239965518,1700.680054,27208.707031,0.0,1000000.0,1.647,2793.0,1297.0,1.201,0.424,0.014,1.643,2304.0,1787.0,0.408,0.143,0.003,3.0
11300.693359,1798.5612084506047,0.309906,0.31182859999999996,-2.432,-2.4278,-10.121681102214588,-139.10269350186127,-0.23570632681890244,-0.20415583086334008,1798.561035,28774.542969,0.0,1000000.0,1.647,2792.0,1297.0,1.192,0.424,0.011,1.644,2273.0,1802.0,0.375,0.131,0.007,3.0
11945.21875,1901.1406103764912,0.283142,0.28606580000000004,-2.513,-2.507,-10.870681205243766,-143.6405192392974,-0.2303725815161342,-0.16959397281516853,1901.140991,30416.890625,0.0,1000000.0,1.647,2790.0,1296.0,1.203,0.423,0.039,1.643,2272.0,1829.0,0.341,0.12,0.004,3.0
12566.371094,2000.0000763372086,0.260559,0.26267100000000004,-2.585,-2.5832000000000006,-11.611757450650508,-148.0064576381943,-0.22277332824321505,-0.13916931581509187,2000.0,31996.988281,0.0,1000000.0,1.647,2790.0,1298.0,1.202,0.424,0.017,1.643,2240.0,1845.0,0.314,0.11,0.002,3.0
13199.969727,2100.8404307154265,0.239594,0.24126599999999998,-2.656,-2.6550000000000002,-12.350077519783124,-152.12029460723357,-0.21326257360895828,-0.11282002239710663,2100.840088,33610.121094,0.0,1000000.0,1.647,2789.0,1290.0,1.201,0.424,0.015,1.643,2240.0,1862.0,0.287,0.102,0.004,3.0
13824.390625,2200.2201032020066,0.220154,0.2220216,-2.73,-2.722,-13.072095438511788,-155.95911183461007,-0.20276232838395336,-0.09044904120485672,2200.219971,35203.976563,0.0,1000000.0,1.647,2792.0,1298.0,1.202,0.424,0.024,1.643,2206.0,1871.0,0.268,0.093,0.006,3.0
14444.103516,2298.8504731024254,0.202881,0.20446180000000003,-2.791,-2.7864,-13.787756403390777,-159.64896003525257,-0.1916991936213426,-0.07110588459591094,2298.851074,36780.613281,0.0,1000000.0,1.647,2788.0,1300.0,1.198,0.424,0.029,1.643,2198.0,1881.0,0.251,0.086,0.003,3.0
15085.679688,2400.9604922462013,0.18692,0.18852539999999998,-2.848,-2.848,-14.492602581662538,-163.17838005325845,-0.18045846719799394,-0.054557933077697685,2400.960938,38418.078125,0.0,1000000.0,1.647,2791.0,1297.0,1.198,0.424,0.038,1.643,2184.0,1897.0,0.229,0.079,0.006,3.0
15707.963867,2500.0000953419335,0.17276,0.1740112,-2.907,-2.9064,-15.188455960594172,-166.52445357682248,-0.16922057861120998,-0.04054988902484571,2500.0,40000.0,0.0,1000000.0,1.647,2783.0,1305.0,1.189,0.423,0.008,1.643,2173.0,1910.0,0.21,0.073,0.009,3.0
16341.18457,2600.780300292508,0.159912,0.16083979999999998,-2.964,-2.9606000000000003,-15.872129512047836,-169.62988482643155,-0.1582125612813184,-0.028952145289167636,2600.780029,41615.667969,0.0,1000000.0,1.648,2790.0,1298.0,1.198,0.424,0.077,1.644,2162.0,1911.0,0.197,0.068,0.008,3.0
